id,address,zip,match_type,itm_x,itm_y,utm_x,utm_y
001027-075911-00024-X,"הרימון 24, דימונה",86028,exact,202489.92,552544.76,693368.21,3438456.37
001027-075911-00026-X,"הרימון 26, דימונה",86028,exact,202480.30,552536.94,693358.74,3438448.36
001027-075911-00032-X,"הרימון 32, דימונה",86028,exact,202423.45,552527.10,693302.10,3438437.39
001027-075911-00034-X,"הרימון 34, דימונה",86028,exact,202409.17,552519.98,693287.97,3438429.99
001027-075911-00036-X,"הרימון 36, דימונה",86028,exact,202392.75,552518.14,693271.59,3438427.82
001027-075911-00266-X,"הרימון 266, דימונה",86028,street,202510.01,552536.37,693388.46,3438448.38
001027-075911-00268-X,"הרימון 268, דימונה",86028,street,202510.01,552536.37,693388.46,3438448.38
001027-075911-00270-X,"הרימון 270, דימונה",86028,street,202510.01,552536.37,693388.46,3438448.38
001027-075911-00274-X,"הרימון 274, דימונה",86028,street,202510.01,552536.37,693388.46,3438448.38
001027-075911-00276-X,"הרימון 276, דימונה",86028,street,202510.01,552536.37,693388.46,3438448.38
001027-075911-00278-X,"הרימון 278, דימונה",86028,street,202510.01,552536.37,693388.46,3438448.38
001027-075911-00286-X,"הרימון 286, דימונה",86028,street,202510.01,552536.37,693388.46,3438448.38
001027-075911-00288-X,"הרימון 288, דימונה",86028,street,202510.01,552536.37,693388.46,3438448.38
001027-075911-00294-X,"הרימון 294, דימונה",86028,street,202510.01,552536.37,693388.46,3438448.38
001027-075911-00298-X,"הרימון 298, דימונה",86028,street,202510.01,552536.37,693388.46,3438448.38
001027-075911-00299-X,"הרימון 299, דימונה",86028,street,202510.01,552536.37,693388.46,3438448.38
001027-075911-00302-X,"הרימון 302, דימונה",86028,street,202510.01,552536.37,693388.46,3438448.38
001027-075911-00303-X,"הרימון 303, דימונה",86028,street,202510.01,552536.37,693388.46,3438448.38
001027-075911-00304-X,"הרימון 304, דימונה",86028,street,202510.01,552536.37,693388.46,3438448.38
001027-075911-00305-X,"הרימון 305, דימונה",86028,street,202510.01,552536.37,693388.46,3438448.38
