id,city,file_street,file_house_number,file_match_type,utm_x,utm_y,lat,lon,google_street,google_house_number,google_full_address,match_score
001027-075520-01002-ג,דימונה,שד גולדה מאיר,1002,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01003-א,דימונה,שד גולדה מאיר,1003,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01004-X,דימונה,שד גולדה מאיר,1004,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01004-א,דימונה,שד גולדה מאיר,1004,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01004-ג,דימונה,שד גולדה מאיר,1004,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01005-X,דימונה,שד גולדה מאיר,1005,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01005-א,דימונה,שד גולדה מאיר,1005,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01006-X,דימונה,שד גולדה מאיר,1006,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01006-א,דימונה,שד גולדה מאיר,1006,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01006-ב,דימונה,שד גולדה מאיר,1006,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01007-X,דימונה,שד גולדה מאיר,1007,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01007-א,דימונה,שד גולדה מאיר,1007,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01007-ד,דימונה,שד גולדה מאיר,1007,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01007-ה,דימונה,שד גולדה מאיר,1007,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01020-X,דימונה,שד גולדה מאיר,1020,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01020-א,דימונה,שד גולדה מאיר,1020,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01020-ב,דימונה,שד גולדה מאיר,1020,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01020-ג,דימונה,שד גולדה מאיר,1020,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01020-ד,דימונה,שד גולדה מאיר,1020,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01021-ב,דימונה,שד גולדה מאיר,1021,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01021-ה,דימונה,שד גולדה מאיר,1021,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01022-X,דימונה,שד גולדה מאיר,1022,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01022-א,דימונה,שד גולדה מאיר,1022,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01022-ג,דימונה,שד גולדה מאיר,1022,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01022-ד,דימונה,שד גולדה מאיר,1022,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01022-ה,דימונה,שד גולדה מאיר,1022,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01022-ו,דימונה,שד גולדה מאיר,1022,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01023-X,דימונה,שד גולדה מאיר,1023,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01023-א,דימונה,שד גולדה מאיר,1023,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
