id,address,city,street,house_number,entrance,zip,match_type,itm_x,itm_y,utm_x,utm_y,source_file,status
001027-082759-00027-ב,"הצבר 27, דימונה",דימונה,הצבר,27,ב,8603312,street,203312.83,552404.85,694193.78,3438332.81,File B (Preferred),resolved_preference
001027-073567-02540-X,"המסגר 2, דימונה",דימונה,המסגר,2,,,none,,,,,File A,ok
001027-073567-02541-X,"ציפורן 1, דימונה",דימונה,ציפורן,1,,,exact,203568.29,554518.23,,,File A,ok
001027-073567-02542-X,"חרוב 37, דימונה",דימונה,חרוב,37,,,exact,204018.13,554408.64,,,File A,ok
001027-073567-02543-X,"שיבטה 5, דימונה",דימונה,שיבטה,5,,,exact,203669.57,551642.14,,,File A,ok
001027-073567-02544-X,"שד הנשיא 28, דימונה",דימונה,שד הנשיא,28,,,exact,202728.01,552307.05,,,File A,ok
001027-073567-02545-X,"הגפן 36, דימונה",דימונה,הגפן,36,,,exact,202399.89,552663.89,,,Both (File A & B),ok
001027-077597-00149-X,"נוה מדבר 149, דימונה",דימונה,נוה מדבר,149,,8601376,street,202685.35,552167.71,693571.10,3438083.25,File B (Preferred),resolved_preference
001027-073567-02547-X,"המעפיל 29, דימונה",דימונה,המעפיל,29,,,exact,203330.36,553458.23,,,Both (File A & B),ok
001027-073567-02548-X,"חצב 45, דימונה",דימונה,חצב,45,,,exact,203596.56,554053.42,,,File A,ok
001027-073567-02549-X,"תל אפק 46, דימונה",דימונה,תל אפק,46,,,exact,203182.61,551506.35,,,File A,ok
001027-073567-02550-X,"שד בן גוריון 3, דימונה",דימונה,שד בן גוריון,3,,,exact,203226.62,553020.12,,,Both (File A & B),ok
001027-073567-02551-X,"אשחר 4, דימונה",דימונה,אשחר,4,,,exact,204019.50,554084.12,,,File A,ok
001027-073567-02552-X,"קארו יוסף 6, דימונה",דימונה,קארו יוסף,6,,,none,,,,,File A,ok
001027-073567-02553-X,"יגור 5, דימונה",דימונה,יגור,5,,,exact,202651.32,553837.75,,,File A,ok
001027-073567-02554-X,"הפסגה 40, דימונה",דימונה,הפסגה,40,,,exact,203963.63,553408.51,,,Both (File A & B),ok
001027-073567-02555-X,"דולב 23, דימונה",דימונה,דולב,23,,,none,,,,,File A,ok
001027-073567-02556-X,"ליבנה 5, דימונה",דימונה,ליבנה,5,,,exact,203845.04,554076.81,,,File A,ok
001027-073567-02557-X,"אקליפטוס 12, דימונה",דימונה,אקליפטוס,12,,,none,,,,,File A,ok
001027-073567-02558-X,"שד בן גוריון 39, דימונה",דימונה,שד בן גוריון,39,,,exact,203229.28,553292.54,,,Both (File A & B),ok
001027-073567-02559-X,"תל אפק 48, דימונה",דימונה,תל אפק,48,,,exact,203176.98,551502.17,,,File A,ok
001027-073567-02560-X,"בית שערים 19, דימונה",דימונה,בית שערים,19,,,exact,203301.94,551732.79,,,File A,ok
001027-073567-02561-X,"שבזי שלום 9, דימונה",דימונה,שבזי שלום,9,,,exact,203990.66,553636.79,,,File A,ok
001027-073567-02562-X,"שטרן יאיר 6, דימונה",דימונה,שטרן יאיר,6,,,none,,,,,File A,ok
