utm_x,utm_y,lat,lon,file_street,file_house,file_match_type
693708.15,3438890.89,31.0678304,35.0303173,הרצל,42,exact
693850.77,3438831.58,31.0672721,35.0317999,הרצל,55,exact
693836.98,3438831.09,31.0672699,35.0316554,הרצל,57,exact
693823.98,3438831.86,31.067279,35.0315194,הרצל,59,exact
693800.37,3438827.65,31.0672449,35.0312712,הרצל,61,exact
693800.06,3438994.1,31.0687459,35.0312999,הרצל,62,exact
693786.68,3438825.69,31.0672295,35.0311274,הרצל,63,exact
693420.95,3438730.37,31.0664303,35.0272779,הרצל,117,exact
693971.11,3438160.12,31.0611973,35.0329318,סביון,,street
694202.5,3438624.83,31.0653496,35.0354448,עזרא ונחמיה,,street
694181.56,3438641.75,31.0655056,35.0352287,עזרא ונחמיה,243,exact
693765.43,3438549.67,31.064744,35.0308519,השיטה,,street
693754.19,3438501.93,31.0643154,35.030725,השיטה,45,exact
693774.29,3438532.11,31.0645842,35.0309414,השיטה,46,exact
693770.88,3438559.98,31.0648361,35.030911,השיטה,47,exact
693735.47,3438549.24,31.0647451,35.030538,השיטה,48,exact
693948.23,3438368.54,31.0630805,35.0327321,רקפת,,street
693868.4,3438351.7,31.0629419,35.0318926,האיריס,,street
694120.53,3438652.94,31.0656166,35.0345916,"מ""ג המעפילים",,street
694144.91,3438433.52,31.063634,35.0348048,"מ""ג המעפילים",2,exact
694144.9,3438750.76,31.0664947,35.0348656,"מ""ג המעפילים",227,exact
694141.93,3438775.68,31.0667199,35.0348393,"מ""ג המעפילים",228,exact
694139.28,3438801.03,31.0669489,35.0348164,"מ""ג המעפילים",229,exact
694140.33,3438827.2,31.0671847,35.0348324,"מ""ג המעפילים",230,exact
694141.97,3438697.29,31.066013,35.0348247,"מ""ג המעפילים",245,exact
694358.86,3438724.04,31.0662183,35.0371018,המכבים,,street
694339.95,3438703.8,31.066039,35.0368999,המכבים,247,exact
694375.51,3438695.58,31.0659589,35.0372708,המכבים,248,exact
694437.7,3438628.72,31.0653457,35.0379094,מתתיהו הכהן,222,exact
694464.5,3438623.91,31.0652979,35.0381892,מתתיהו הכהן,223,exact
